No,기능유형,난이도,수정내용,수정여부,업무 구분 (대분류),업무 구분 (소분류),업무 구분 (중분류),요구사항 내용,요구사항명,중요도
1,기능,중,,No,사용자 관리,로그인,인증,아이디/비밀번호로 로그인 가능,일반 로그인,필수
2,기능,중,,No,사용자 관리,로그인,인증,카카오/ 구글/ 네이버로 로그인 가능,소셜 로그인,필수
3,기능,낮음,,No,사용자 관리,로그인,인증,체크 시 자동으로 로그인 유지,자동로그인,높음
4,UI / UX,낮음,,No,사용자 관리,로그인,인증,잘못된 정보 입력 시 404 페이지,로그인 실패 처리,필수
5,기능,중,,No,사용자 관리,로그인,인증,이메일 인증으로 비밀번호 재설정,비밀번호 찾기,높음
6,기능,중,,No,사용자 관리,로그인,인증,같은 계정으로 다중 로그인 불가,중복 로그인 방지,높음
7,기능,낮음,,No,사용자 관리,로그인,인증,로그아웃 버튼으로 세션 종료,로그아웃 기능,필수
8,기능,중,,No,사용자 관리,로그인,인증,신규 계정 생성 기능,회원가입,필수
9,기능,낮음,,No,사용자 관리,로그인,인증,로그인 후 비밀번호 변경 가능,비밀번호 변경,높음
10,UI / UX,낮음,,No,사용자 관리,기본정보 입력,회원가입,아이디/ 비밀번호/ 이메일/ 이름/ 전화번호 입력 화면,회원가입 폼,필수
11,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,입력한 아이디 중복 여부 실시간 확인,아이디 중복 확인,필수
12,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,아이디 형식 검증 (길이/ 특수문자 등),아이디 유효성 검사,필수
13,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,비밀번호 강도 검증 (대소문자/ 숫자/ 특수문자 포함),비밀번호 유효성 검사,필수
14,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,입력한 비밀번호와 재확인 일치 여부 확인,비밀번호 재확인,필수
15,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,이메일 형식 검증,이메일 유효성 검사,필수
16,기능,낮음,,No,사용자 관리,기본정보 입력,회원가입,전화번호 형식 검증,전화번호 유효성 검사,높음
17,데이터,중,,No,사용자 관리,이메일 인증,회원가입,입력 이메일로 인증 메일 발송,인증 이메일 발송,필수
18,기능,중,,No,사용자 관리,이메일 인증,회원가입,이메일의 인증 링크 클릭으로 이메일 인증 완료,인증 링크 클릭,필수
19,기능,중,,No,사용자 관리,이메일 인증,회원가입,이메일로 받은 인증 코드 입력 방식,인증 코드 입력,높음
20,데이터,중,,No,사용자 관리,이메일 인증,회원가입,인증 코드 유효 시간 설정 (예: 10분),인증 시간 제한,중간
