이름,관련 유스케이스,대체 흐름,도메인,마지막 업데이트,상태,설명,액터,우선순위,전제 조건,주요 흐름
회원가입,"로그인, 이메일 인증","- 이메일 중복: 이미 가입된 이메일 안내 및 로그인 유도
- 비밀번호 불일치: 비밀번호 확인 재입력 요청
- 필수 정보 누락: 누락된 필드 표시 및 입력 요청
- 약관 미동의: 필수 약관 동의 안내",인증 시스템,2026년 1월 5일,대기,비회원이 시스템에 새 계정을 생성하는 과정,"비회원, 시스템",P0 - 필수,없음,"1. 비회원이 회원가입 페이지 접속
2. 이메일, 비밀번호, 닉네임 입력
3. 필수 약관 동의
4. 가입하기 버튼 클릭
5. 시스템이 이메일 중복 확인
6. 이메일 인증 메일 발송
7. 인증 완료 후 가입 완료"
로그인,"회원가입, 토큰 갱신","- 인증 실패: 이메일 또는 비밀번호 오류 메시지 표시
- 계정 잠금: 5회 실패 시 일시 잠금 및 안내
- 비밀번호 찾기: 이메일로 재설정 링크 발송
- 소셜 로그인: 카카오/구글 OAuth 처리",인증 시스템,2026년 1월 5일,대기,회원이 시스템에 자신의 계정으로 접속하는 과정,"비회원, 시스템",P0 - 필수,회원가입이 완료되어 있어야 함,"1. 사용자가 로그인 페이지 접속
2. 이메일과 비밀번호 입력
3. 로그인 버튼 클릭
4. 시스템이 자격 증명 검증
5. JWT Access Token 및 Refresh Token 발급
6. 메인 페이지로 이동"
소셜 로그인,"회원가입, 로그인","- 최초 로그인: 자동 회원가입 후 추가 정보 입력 요청
- 연동 실패: OAuth 제공자 오류 시 일반 로그인 안내
- 이메일 충돌: 기존 계정과 이메일 중복 시 계정 연동 제안",인증 시스템,2026년 1월 5일,대기,외부 OAuth 제공자를 통한 간편 로그인,"비회원, 시스템",P2 - 선택,카카오 또는 구글 계정 보유,"1. 사용자가 소셜 로그인 버튼 클릭
2. OAuth 제공자 인증 페이지로 리다이렉트
3. 사용자가 권한 승인
4. 콜백으로 인증 코드 수신
5. 시스템이 토큰 교환 및 사용자 정보 조회
6. 기존 회원이면 로그인, 신규면 자동 가입"
토큰 갱신,"로그인","- Refresh Token 만료: 재로그인 요청
- 토큰 위변조: 모든 세션 무효화 및 재로그인",인증 시스템,2026년 1월 5일,대기,만료된 Access Token을 갱신하는 과정,"회원, 시스템",P0 - 필수,유효한 Refresh Token 보유,"1. Access Token 만료 감지
2. Refresh Token으로 갱신 요청
3. 시스템이 Refresh Token 검증
4. 새로운 Access Token 발급
5. 기존 요청 재시도"
비밀번호 재설정,"로그인, 이메일 인증","- 이메일 미등록: 회원가입 안내
- 링크 만료: 재설정 이메일 재발송 안내
- 동일 비밀번호: 이전과 다른 비밀번호 입력 요청",인증 시스템,2026년 1월 5일,대기,비밀번호를 분실한 회원이 새 비밀번호를 설정,"비회원, 시스템",P1 - 중요,가입된 이메일 주소 보유,"1. 비밀번호 찾기 클릭
2. 가입 이메일 입력
3. 시스템이 재설정 링크 이메일 발송
4. 사용자가 이메일 링크 클릭
5. 새 비밀번호 입력 및 확인
6. 비밀번호 변경 완료"
잔액 조회,"충전하기, 거래내역 조회","- 조회 실패: 새로고침 안내
- 동기화 지연: 최신 정보 로딩 중 표시",어카운트 시스템,2026년 1월 5일,대기,회원이 우리두 어카운트의 가용/락 잔액을 확인,"회원, 시스템",P0 - 필수,로그인 상태,"1. 회원이 마이페이지 또는 헤더에서 잔액 확인
2. 시스템이 ACCOUNTS 테이블 조회
3. 가용 잔액(balance)과 락 잔액(locked_balance) 표시
4. 락 상세 버튼 클릭 시 모임별 보증금 현황 표시"
충전하기,"잔액 조회, 거래내역 조회","- 결제 실패: 다른 결제 수단 안내
- 결제 취소: 충전 취소 확인 및 잔액 미반영
- 최소/최대 금액 초과: 허용 범위 안내 (1만원~100만원)
- PG사 오류: 잠시 후 재시도 안내",어카운트 시스템,2026년 1월 5일,대기,회원이 토스페이를 통해 가용 잔액을 충전,"회원, 시스템, 토스페이",P0 - 필수,로그인 상태,"1. 회원이 충전하기 버튼 클릭
2. 충전 금액 선택 또는 직접 입력
3. 토스페이 결제 페이지로 이동
4. 결제 완료
5. 콜백으로 결제 결과 수신
6. ACCOUNTS.balance 증가
7. ACCOUNT_TRANSACTIONS 기록 (type=CHARGE)
8. 충전 완료 알림"
출금하기,"잔액 조회, 출금 계좌 등록","- 잔액 부족: 출금 가능 금액 안내
- 계좌 미등록: 계좌 등록 먼저 요청
- 출금 한도 초과: 일일/월간 한도 안내
- 계좌 오류: 계좌 정보 재확인 요청",어카운트 시스템,2026년 1월 5일,대기,회원이 가용 잔액을 등록된 은행 계좌로 출금,"회원, 시스템",P2 - 선택,로그인 및 출금 계좌 등록 완료,"1. 회원이 출금하기 버튼 클릭
2. 출금 금액 입력
3. 등록된 출금 계좌 선택
4. 출금 요청 확인
5. ACCOUNTS.balance 차감
6. ACCOUNT_TRANSACTIONS 기록 (type=WITHDRAW)
7. 은행 이체 처리 (1~3 영업일)
8. 출금 완료 알림"
거래내역 조회,"잔액 조회, 충전하기","- 내역 없음: 첫 충전 유도 CTA 표시
- 로딩 실패: 새로고침 안내",어카운트 시스템,2026년 1월 5일,대기,회원이 충전/출금/락/해제 등 거래 이력을 확인,"회원, 시스템",P1 - 중요,로그인 상태,"1. 회원이 거래내역 메뉴 선택
2. 시스템이 ACCOUNT_TRANSACTIONS 조회
3. 타임라인 형식으로 거래 목록 표시
4. 필터(유형별) 및 기간 선택 가능
5. 페이지네이션 (20개씩)"
락 상세 조회,"잔액 조회, 모임 상세 조회","- 락 없음: 모임 가입 유도 CTA
- 모임 삭제됨: 해당 모임 정보 비활성화 표시",어카운트 시스템,2026년 1월 5일,대기,회원이 모임별 보증금 락 현황을 상세 확인,"회원, 시스템",P0 - 필수,로그인 및 1개 이상 모임 가입,"1. 회원이 잔액 카드에서 락 상세 클릭
2. BottomSheet로 락 목록 표시
3. 모임명, 락 금액, 락 시작일 표시
4. 모임 클릭 시 해당 모임 상세로 이동"
